codeD,date_obs,t_moy
1,18/06/2023,23
1,18/07/2019,21
1,18/07/2020,20
1,18/07/2021,21
1,18/07/2022,24
1,18/07/2023,25
1,18/08/2019,25
1,18/08/2020,22
1,18/08/2021,17
1,18/08/2022,19
1,18/08/2023,28
1,18/09/2019,17
1,18/09/2020,23
1,18/09/2021,17
1,18/09/2022,12
1,18/09/2023,21
1,18/10/2019,16
1,18/10/2020,8
1,18/10/2021,11
1,18/10/2022,21
1,18/10/2023,18
1,18/11/2019,4
1,18/11/2020,9
1,18/11/2021,5
1,18/11/2022,10
1,18/11/2023,5
1,18/12/2019,13
1,18/12/2020,9
1,18/12/2021,-1
1,18/12/2022,5
1,18/12/2023,3
1,19/01/2019,-2
1,19/01/2020,2
1,19/01/2021,2
1,19/01/2022,-1
1,19/01/2023,"0"
1,19/02/2019,9
1,19/02/2020,5
1,19/02/2021,12
1,19/02/2022,6
1,19/02/2023,8
1,19/03/2019,6
1,19/03/2020,13
1,19/03/2021,4
1,19/03/2022,8
1,19/03/2023,12
1,19/04/2019,16
1,19/04/2020,14
1,19/04/2021,7
1,19/04/2022,12
1,19/04/2023,13
1,19/05/2019,13
1,19/05/2020,17
1,19/05/2021,12
1,19/05/2022,24
1,19/05/2023,13
1,19/06/2019,23
1,19/06/2020,17
1,19/06/2021,25
1,19/06/2022,29
1,19/06/2023,26
1,19/07/2019,21
1,19/07/2020,21
1,19/07/2021,22
1,19/07/2022,27
1,19/07/2023,25
1,19/08/2019,17
1,19/08/2020,23
1,19/08/2021,18
1,19/08/2022,20
1,19/08/2023,30
1,19/09/2019,14
1,19/09/2020,24
1,19/09/2021,15
1,19/09/2022,12
1,19/09/2023,21
1,19/10/2019,15
1,19/10/2020,8
1,19/10/2021,13
1,19/10/2022,17
1,19/10/2023,18
1,19/11/2019,3
1,19/11/2020,9
1,19/11/2021,4
1,19/11/2022,7
1,19/11/2023,11
1,19/12/2019,12
1,19/12/2020,9
1,19/12/2021,-1
1,19/12/2022,12
1,19/12/2023,"0"
1,20/01/2019,3
1,20/01/2020,1
1,20/01/2021,8
1,20/01/2022,3
1,20/01/2023,-2
1,20/02/2019,7
1,20/02/2020,7
1,20/02/2021,13
1,20/02/2022,6
1,20/02/2023,7
1,20/03/2019,6
1,20/03/2020,12
1,20/03/2021,3
1,20/03/2022,10
1,20/03/2023,10
1,20/04/2019,15
1,20/04/2020,15
1,20/04/2021,9
1,20/04/2022,12
1,20/04/2023,11
1,20/05/2019,13
1,20/05/2020,18
1,20/05/2021,12
1,20/05/2022,24
1,20/05/2023,15
1,20/06/2019,20
1,20/06/2020,17
1,20/06/2021,23
1,20/06/2022,27
1,20/06/2023,25
1,20/07/2019,25
1,20/07/2020,23
1,20/07/2021,21
1,20/07/2022,28
1,20/07/2023,22
1,20/08/2019,15
1,20/08/2020,28
1,20/08/2021,18
1,20/08/2022,21
1,20/08/2023,28
1,20/09/2019,16
1,20/09/2020,20
1,20/09/2021,14
1,20/09/2022,12
1,20/09/2023,19
1,20/10/2019,18
1,20/10/2020,16
1,20/10/2021,17
1,20/10/2022,19
1,20/10/2023,16
1,20/11/2019,3
1,20/11/2020,7
1,20/11/2021,3
1,20/11/2022,8
1,20/11/2023,8
1,20/12/2019,13
1,20/12/2020,8
1,20/12/2021,-1
1,20/12/2022,14
1,20/12/2023,4
1,21/01/2019,1
1,21/01/2020,"0"
1,21/01/2021,10
1,21/01/2022,2
1,21/01/2023,1
1,21/02/2019,8
1,21/02/2020,7
1,21/02/2021,12
1,21/02/2022,7
1,21/02/2023,8
